Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,File Path,Open Finder
EMJRXS9Z,journalArticle,2022,"Li, Shi; Qin, Yi",Frequency Analysis of the Nonstationary Annual Runoff Series Using the Mechanism-Based Reconstruction Method,Water,,2073-4441,10.3390/w14010076,https://www.mdpi.com/2073-4441/14/1/76,"Due to climate change and human activities, the statistical characteristics of annual runoff series of many rivers around the world exhibit complex nonstationary changes, which seriously impact the frequency analysis of annual runoff and are thus becoming a hotspot of research. A variety of nonstationary frequency analysis methods has been proposed by many scholars, but their reliability and accuracy in practical application are still controversial. The recently proposed Mechanism-based Reconstruction (Me-RS) method is a method to deal with nonstationary changes in hydrological series, which solves the frequency analysis problem of the nonstationary hydrological series by transforming nonstationary series into stationary Me-RS series. Based on the Me-RS method, a calculation method of design annual runoff under the nonstationary conditions is proposed in this paper and applied to the Jialu River Basin (JRB) in northern Shaanxi, China. From the aspects of rationality and uncertainty, the calculated design value of annual runoff is analyzed and evaluated. Then, compared with the design values calculated by traditional frequency analysis method regardless of whether the sample series is stationary, the correctness of the Me-RS theory and its application reliability is demonstrated. The results show that calculation of design annual runoff based on the Me-RS method is not only scientific in theory, but also the obtained design values are relatively consistent with the characteristics of the river basin, and the uncertainty is obviously smaller. Therefore, the Me-RS provides an effective tool for annual runoff frequency analysis under nonstationary conditions.",2022-01-02,2023-03-16 17:52:31,2023-04-06 23:27:24,2023-04-06 23:01:23,76,,1,14,,Water,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\CRP8Y97X\Li and Qin - 2022 - Frequency Analysis of the Nonstationary Annual Run.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122325322&doi=10.3390%2fw14010076&partnerID=40&md5=0be73abda27a7e7504fa4667fab409ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\CRP8Y97X\Li and Qin - 2022 - Frequency Analysis of the Nonstationary Annual Run.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\CRP8Y97X\Li and Qin - 2022 - Frequency Analysis of the Nonstationary Annual Run.pdf';
65P9IU4A,journalArticle,2003,"Lian, Yanqing; Yen, Ben Chie",Comparison of Risk Calculation Methods for a Culvert,Journal of Hydraulic Engineering,,"0733-9429, 1943-7900",10.1061/(ASCE)0733-9429(2003)129:2(140),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9429%282003%29129%3A2%28140%29,,2003-02,2023-03-16 17:52:31,2023-04-06 23:27:26,2023-04-06 23:01:29,140-152,,2,129,,J. Hydraul. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037330229&doi=10.1061%2f%28ASCE%290733-9429%282003%29129%3a2%28140%29&partnerID=40&md5=7cc897427ef8c19d392d855bfa87a1dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4RVXWWA6,journalArticle,2020,"Liang, Marissa S.; Julius, Susan; Dong, Zhifei; Neal, Jill; Yang, Y. Jeffrey",Assessing and managing design storm variability and projection uncertainty in a changing coastal environment,Journal of Environmental Management,,03014797,10.1016/j.jenvman.2020.110494,https://linkinghub.elsevier.com/retrieve/pii/S030147972030428X,,2020-06,2023-03-16 17:52:31,2023-04-06 23:27:28,2023-04-06 23:01:24,110494,,,264,,Journal of Environmental Management,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\58V8QBPL\Liang et al. - 2020 - Assessing and managing design storm variability an.pdf; C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\H5QMRYU4\Liang et al. - 2020 - Assessing and managing design storm variability an.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082645034&doi=10.1016%2fj.jenvman.2020.110494&partnerID=40&md5=75560ad2b1c8f9faaa0467edf519cf17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\58V8QBPL\Liang et al. - 2020 - Assessing and managing design storm variability an.pdf';Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\H5QMRYU4\Liang et al. - 2020 - Assessing and managing design storm variability an.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\58V8QBPL\Liang et al. - 2020 - Assessing and managing design storm variability an.pdf';Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\H5QMRYU4\Liang et al. - 2020 - Assessing and managing design storm variability an.pdf';
BLZIAEI7,journalArticle,2021,"Liang, Ruijie; Thyer, Mark A.; Maier, Holger R.; Dandy, Graeme C.; Di Matteo, Michael",Optimising the design and real-time operation of systems of distributed stormwater storages to reduce urban flooding at the catchment scale,Journal of Hydrology,,00221694,10.1016/j.jhydrol.2021.126787,https://linkinghub.elsevier.com/retrieve/pii/S0022169421008374,,2021-11,2023-03-16 17:52:31,2023-04-06 23:27:29,2023-04-06 23:01:28,126787,,,602,,Journal of Hydrology,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112434806&doi=10.1016%2fj.jhydrol.2021.126787&partnerID=40&md5=945a0428ed9765976d165607b2ec9d75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN4XC7W,journalArticle,2022,"Lin, Ruozhou; Zheng, Feifei; Ma, Yiyi; Duan, Huan-Feng; Chu, Shipeng; Deng, Zhengzhi",Impact of Spatial Variation and Uncertainty of Rainfall Intensity on Urban Flooding Assessment,Water Resources Management,,"0920-4741, 1573-1650",10.1007/s11269-022-03325-8,https://link.springer.com/10.1007/s11269-022-03325-8,,2022-11,2023-03-16 17:52:31,2023-04-06 23:27:31,2023-04-06 23:01:29,5655-5673,,14,36,,Water Resour Manage,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\FYQJXWAT\Lin et al. - 2022 - Impact of Spatial Variation and Uncertainty of Rai.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138314740&doi=10.1007%2fs11269-022-03325-8&partnerID=40&md5=866058921bbdae3b71f2a64fde7f8bec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\FYQJXWAT\Lin et al. - 2022 - Impact of Spatial Variation and Uncertainty of Rai.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\FYQJXWAT\Lin et al. - 2022 - Impact of Spatial Variation and Uncertainty of Rai.pdf';
MH5Y24V6,journalArticle,2021,"Lin, Xiajing; Huang, Guohe; Piwowar, Joseph M.; Zhou, Xiong; Zhai, Yuanyuan","Risk of hydrological failure under the compound effects of instant flow and precipitation peaks under climate change: A case study of Mountain Island Dam, North Carolina",Journal of Cleaner Production,,09596526,10.1016/j.jclepro.2020.125305,https://linkinghub.elsevier.com/retrieve/pii/S0959652620353506,,2021-02,2023-03-16 17:52:31,2023-04-06 23:27:33,2023-04-06 23:01:27,125305,,,284,,Journal of Cleaner Production,Risk of hydrological failure under the compound effects of instant flow and precipitation peaks under climate change,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\AVDUMLBN\Lin et al. - 2021 - Risk of hydrological failure under the compound ef.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097723112&doi=10.1016%2fj.jclepro.2020.125305&partnerID=40&md5=c137c7005b5efbf0923f7d9e16583f7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\AVDUMLBN\Lin et al. - 2021 - Risk of hydrological failure under the compound ef.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\AVDUMLBN\Lin et al. - 2021 - Risk of hydrological failure under the compound ef.pdf';
GMX5RDFG,journalArticle,2014,"Linton, Jamie; Budds, Jessica",The hydrosocial cycle: Defining and mobilizing a relational-dialectical approach to water,Geoforum,,00167185,10.1016/j.geoforum.2013.10.008,https://linkinghub.elsevier.com/retrieve/pii/S0016718513002327,,2014-11,2023-03-16 17:52:31,2023-04-06 23:27:35,2023-04-06 23:01:25,170-180,,,57,,Geoforum,The hydrosocial cycle,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908037068&doi=10.1016%2fj.geoforum.2013.10.008&partnerID=40&md5=424d55d9cbb05665601a7c75d9df245f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAUQL2T6,journalArticle,2004,"Liu, Q.Q; Chen, L; Li, J.C; Singh, V.P",Two-dimensional kinematic wave model of overland-flow,Journal of Hydrology,,00221694,10.1016/j.jhydrol.2003.12.023,https://linkinghub.elsevier.com/retrieve/pii/S0022169403005146,,2004-05,2023-03-16 17:52:31,2023-04-06 23:27:36,2023-04-06 23:01:28,28-41,,1-2,291,,Journal of Hydrology,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\YXQ8XGPY\Liu et al. - 2004 - Two-dimensional kinematic wave model of overland-f.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842855435&doi=10.1016%2fj.jhydrol.2003.12.023&partnerID=40&md5=d24a6bbb47ef8851fde79fd7c1a8f0ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\YXQ8XGPY\Liu et al. - 2004 - Two-dimensional kinematic wave model of overland-f.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\YXQ8XGPY\Liu et al. - 2004 - Two-dimensional kinematic wave model of overland-f.pdf';
MJ2R2GSV,journalArticle,2021,"Liu, Wei; Chen, Sheng; Tian, Fuchang","Spatiotemporal Modes of Short Time Rainstorms Based on High-Dimensional Data: A Case Study of the Urban Area of Beijing, China",Water,,2073-4441,10.3390/w13243597,https://www.mdpi.com/2073-4441/13/24/3597,"The identification of the characteristics of short time rainstorms in urban areas is a difficult problem. The traditional rainfall definition methods, using rainfall graph or a GIS map, respectively reflect the temporal or spatial variations of a rainfall process, but do not regard a rainfall as one complete process including its temporal and spatial dimension. In this paper, we present an approach to define typical modes of rainfall from the temporal and spatial dimensions. Firstly, independent rainfall processes are divided based on the continuous monitoring data of multiple rainfall stations. Subsequently, algorithms are applied to identify the typical spatiotemporal modes of rainfall and reconstruction of the process of modes, including dimensionality reduction, clustering, and reconstruction. This approach is used to analyze the monitoring data (5 min intervals) from 2004 to 2016 of 14 rainfall stations in Beijing. The results show that there are three modes of rainstorms in the Beijing urban area, which account for 31.8%, 13.7%, and 54.6% of the total processes. Rainstorm of mode 1 moves from the northwest to the center of Beijing, then spreads to the eastern part of the urban area; rainstorm of mode 2 occurs in the southwestern region of the urban area, and gradually northward, but there is no rainfall in the mountainous northwest; rainstorm of mode 3 is concentrated in the central, eastern, and southern regions. The approach and results of this study can be applied to rainstorm forecasting or flood prevention.",2021-12-14,2023-03-16 17:52:31,2023-04-06 23:27:38,2023-04-06 23:01:28,3597,,24,13,,Water,Spatiotemporal Modes of Short Time Rainstorms Based on High-Dimensional Data,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\XERK78HG\Liu et al. - 2021 - Spatiotemporal Modes of Short Time Rainstorms Base.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121389458&doi=10.3390%2fw13243597&partnerID=40&md5=02e23ab9455b5211582be7a25e4798d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\XERK78HG\Liu et al. - 2021 - Spatiotemporal Modes of Short Time Rainstorms Base.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\XERK78HG\Liu et al. - 2021 - Spatiotemporal Modes of Short Time Rainstorms Base.pdf';
4IIDI39K,journalArticle,2021,"Liu, Yesen; Huang, Yaohuan; Liu, Yuanyuan; Li, Kuang; Li, Min",The Impact of Rainfall Movement Direction on Urban Runoff Cannot Be Ignored in Urban Hydrologic Management,Water,,2073-4441,10.3390/w13202923,https://www.mdpi.com/2073-4441/13/20/2923,"Urban floods have been exacerbated globally, associated with increasing spatial-temporal variations in rainfall. However, compared with rainfall variabilities of intensity and duration, the effect of rainfall movement direction is always ignored. Based on 1313 rainfall scenarios with different combinations of rainfall intensity and rainfall movement direction in the typically rainy city of Shenzhen in China, we find that the effect of rainfall movement direction on the peak runoff may reach up to 20%, which will decrease to less than 5% under heavy rainfall intensity conditions. In addition, our results show that the impact of rainfall movement direction is almost symmetrical and is associated with the direction of the river. The closer rainfall movement direction is to the Linear Directional Mean of rivers, the larger is the peak runoff of section. Our results reveal that rainfall movement direction is significant to urban peak runoff in the downstream reaches, which should be considered in urban hydrological analysis.",2021-10-17,2023-03-16 17:52:31,2023-04-06 23:27:40,2023-04-06 23:01:25,2923,,20,13,,Water,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\9TZHH3DU\Liu et al. - 2021 - The Impact of Rainfall Movement Direction on Urban.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119296760&doi=10.3390%2fw13202923&partnerID=40&md5=3c76f3e3acfbf09808e33650addf425f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\9TZHH3DU\Liu et al. - 2021 - The Impact of Rainfall Movement Direction on Urban.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\9TZHH3DU\Liu et al. - 2021 - The Impact of Rainfall Movement Direction on Urban.pdf';
4A8K9E7W,journalArticle,1998,"Lohmann, D.; Raschke, E.; Nijssen, B.; Lettenmaier, D. P.",Regional scale hydrology: I. Formulation of the VIC-2L model coupled to a routing model,Hydrological Sciences Journal,,"0262-6667, 2150-3435",10.1080/02626669809492107,https://www.tandfonline.com/doi/full/10.1080/02626669809492107,,1998-02,2023-04-06 23:02:07,2023-04-06 23:27:42,2023-04-06 23:01:25,131-141,,1,43,,Hydrological Sciences Journal,Regional scale hydrology,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032004893&doi=10.1080%2f02626669809492107&partnerID=40&md5=55b06df5634016a67d564d185cd68270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U6YG9ZHP,journalArticle,2021,"Loveridge, Melanie; Rahman, Ataur",Effects of Probability-Distributed Losses on Flood Estimates Using Event-Based Rainfall-Runoff Models,Water,,2073-4441,10.3390/w13152049,https://www.mdpi.com/2073-4441/13/15/2049,"Probability distributions of initial losses are investigated using a large dataset of catchments throughout Australia. The variability in design flood estimates caused by probability-distributed initial losses and associated uncertainties are investigated. Based on historic data sets in Australia, the Gamma and Beta distributions are found to be suitable for describing initial loss data. It has also been found that the central tendency of probability-distributed initial loss is more important in design flood estimation than the form of the probability density function. Findings from this study have notable implications on the regionalization of initial loss data, which is required for the application of Monte Carlo methods for design flood estimation in ungauged catchments.",2021-07-27,2023-03-16 17:52:31,2023-04-06 23:27:44,2023-04-06 23:01:28,2049,,15,13,,Water,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\SIKSGEFY\Loveridge and Rahman - 2021 - Effects of Probability-Distributed Losses on Flood.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111994985&doi=10.3390%2fw13152049&partnerID=40&md5=daf76f2cb8c4a8901b7cdbef791c056e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\SIKSGEFY\Loveridge and Rahman - 2021 - Effects of Probability-Distributed Losses on Flood.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\SIKSGEFY\Loveridge and Rahman - 2021 - Effects of Probability-Distributed Losses on Flood.pdf';
Y97K8XNB,journalArticle,2016,"Ly, Sarann; Sohier, Catherine; Charles, Catherine; Degré, Aurore",Modelling extreme discharge response to several geostatistically interpolated rainfall using very sparse raingage data,Natural Hazards and Earth System Sciences Discussions,,,,,,2016,2023-03-16 17:52:31,2023-03-16 17:52:31,,1-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCAFPBDM,conferencePaper,2007,"MacKenzie, K.; Ben, U.; Jansekok, M.; Guo, J. C. Y.",Effect of raingage density on runoff simulation modeling,,,,,,,2007,2023-03-16 17:52:31,2023-03-16 17:52:31,,,,,,,,,,,,,,,,,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051622237&partnerID=40&md5=fcadcbae7d431b49b0a114edf62d400a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restoring Our Natural Habitat - Proceedings of the 2007 World Environmental and Water Resources Congress,,,,,,,,,,,,,,,,,
9KGHNMXS,journalArticle,2010,"Mailhot, Alain; Duchesne, Sophie",Design Criteria of Urban Drainage Infrastructures under Climate Change,Journal of Water Resources Planning and Management,,"0733-9496, 1943-5452",10.1061/(ASCE)WR.1943-5452.0000023,https://ascelibrary.org/doi/10.1061/%28ASCE%29WR.1943-5452.0000023,,2010-03,2023-03-16 17:52:31,2023-04-06 23:27:47,2023-04-06 23:01:25,201-208,,2,136,,J. Water Resour. Plann. Manage.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949318645&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000023&partnerID=40&md5=e2ead07a091679c93251d9deeedadbec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9S6XGVZ,journalArticle,1993,"Marsalek, J.; Barnwell, T. O.; Geiger, W.; Grottker, M.; Huber, W. C.; Saul, A. J.; Schilling, W.; Torno, H. C.",Urban Drainage Systems: Design and Operation,Water Science and Technology,,"0273-1223, 1996-9732",10.2166/wst.1993.0291,https://iwaponline.com/wst/article/27/12/31/24527/Urban-Drainage-Systems-Design-and-Operation,"Design and operation of urban drainage systems are addressed in the context of the urban water system comprising drainage, sewage treatment plants and receiving waters. The planning and design of storm sewers are reviewed with reference to planning objectives, design objectives, flows and pollutant loads, sewer system structures and urban runoff control and treatment. The discussion of combined sewers focuses on hydraulic design of combined sewer systems, including combined sewer overflow (CSO) structures, and the use of CSO structures and storage in control of CSOs. The section on operation of sewer systems focuses on real time control, its feasibility, planning, design, operation and applications. Sewer system planning and design are generally conducted using computer modelling tools and procedures which are reviewed in the last section. A brief listing of selected models focuses on internationally used models. Finally, it was concluded that further improvements in environmental and ecological protection of urban waters is feasible only by consideration of urban drainage systems in conjunctions with sewage treatment and water quality in the receiving waters.",1993-06-01,2023-03-16 17:52:31,2023-04-06 23:27:49,2023-04-06 23:01:25,31-70,,12,27,,,Urban Drainage Systems,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027517175&doi=10.2166%2fwst.1993.0291&partnerID=40&md5=1ef9fd9594f40b52b47a9d1b489d2f43,Urban drainage; Combined sewer overflows; Combined sewers; Computer models of urban drainage; Real time control; Sewer design; Storm sewers; Stormwater control and treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283TSQP3,journalArticle,2002,"Marsalek, J.; Chocat, B.",International Report: Stormwater management,Water Science and Technology,,"0273-1223, 1996-9732",10.2166/wst.2002.0657,https://iwaponline.com/wst/article/46/6-7/1/9931/International-Report-Stormwater-management,"An international survey of urban stormwater management (SWM) practice was conducted for IWA and produced contributions from 18 countries. The survey information was further expanded by a review of recent literature and summarised in this international report on SWM. The main findings of the survey include clear indications of a widespread interest in stormwater management and of the acceptance of a holistic approach to SWM promoting sustainable urban drainage systems (SUDS). Specific implications of this philosophy include emphasis on source controls in SWM, transition from traditional “hard” infrastructures (drain pipes) to green infrastructures, needs for infrastructure maintenance and rehabilitation, formation of stormwater agencies (within larger integrated water agencies) with participation of both public and private sectors, and sustainable funding through drainage fees rather than general taxes. Further progress in this field requires targeted research and development, knowledge sharing, and above all, a high level of public participation in planning, implementing and operating stormwater management systems.",2002-09-01,2023-03-16 17:52:31,2023-04-06 23:27:51,2023-04-06 23:01:32,1-17,,6-7,46,,,International Report,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036383170&doi=10.2166%2fwst.2002.0657&partnerID=40&md5=df2a10d41695576a387e29d8a1f9d562,Best management practices (BMPs); Drainage infrastructures; Financing; Public participation; Source controls; Stormwater management (SWM); Sustainable urban drainage systems (SUDS); Urban stormwater runoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS9IDUU,journalArticle,2004,"Maskey, Shreedhar; Guinot, Vincent; Price, Roland K.",Treatment of precipitation uncertainty in rainfall-runoff modelling: a fuzzy set approach,Advances in Water Resources,,03091708,10.1016/j.advwatres.2004.07.001,https://linkinghub.elsevier.com/retrieve/pii/S0309170804001010,,2004-09,2023-03-16 17:52:31,2023-04-06 23:27:53,2023-04-06 23:01:25,889-898,,9,27,,Advances in Water Resources,Treatment of precipitation uncertainty in rainfall-runoff modelling,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\HW7SX9A3\Maskey et al. - 2004 - Treatment of precipitation uncertainty in rainfall.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-7244247371&doi=10.1016%2fj.advwatres.2004.07.001&partnerID=40&md5=d6cf6f33b355a7a6547fb4a3d9d709fe,Flood forecasting; Disaggregation; Fuzzy sets; Genetic algorithm; Precipitation; Uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\HW7SX9A3\Maskey et al. - 2004 - Treatment of precipitation uncertainty in rainfall.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\HW7SX9A3\Maskey et al. - 2004 - Treatment of precipitation uncertainty in rainfall.pdf';
BV58M6WE,journalArticle,2022,"Maskrey, Shaun A.; Mount, Nick J.; Thorne, Colin R.",Doing flood risk modelling differently: Evaluating the potential for participatory techniques to broaden flood risk management decision‐making,Journal of Flood Risk Management,,"1753-318X, 1753-318X",10.1111/jfr3.12757,https://onlinelibrary.wiley.com/doi/10.1111/jfr3.12757,,2022-03,2023-03-16 17:52:31,2023-04-06 23:27:55,2023-04-06 23:01:30,,,1,15,,J Flood Risk Management,Doing flood risk modelling differently,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\C5F2SN5C\Maskrey et al. - 2022 - Doing flood risk modelling differently Evaluating.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116060738&doi=10.1111%2fjfr3.12757&partnerID=40&md5=94a025ec0f08b31fb2f9e64d78287ced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\C5F2SN5C\Maskrey et al. - 2022 - Doing flood risk modelling differently Evaluating.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\C5F2SN5C\Maskrey et al. - 2022 - Doing flood risk modelling differently Evaluating.pdf';
NURBRVL9,journalArticle,2020,"McDonnell, Bryant E.; Ratliff, Katherine; Tryby, Michael E.; Wu, Jennifer Jia Xin; Mullapudi, Abhiram",PySWMM: the python interface to stormwater management model (SWMM),Journal of Open Source Software,,,,,,2020,2023-03-16 17:52:31,2023-03-16 17:52:31,,2292-2292,,52,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ID6WP8H,bookSection,2008,"McGregor, John L.; Dix, Martin R.",An Updated Description of the Conformal-Cubic Atmospheric Model,High Resolution Numerical Modelling of the Atmosphere and Ocean,978-0-387-36671-5 978-0-387-49791-4,,,http://link.springer.com/10.1007/978-0-387-49791-4_4,,2008,2023-04-06 23:02:11,2023-04-06 23:24:49,2023-04-06 23:01:30,51-75,,,,,,,,,,,Springer New York,"New York, NY",en,,,,,DOI.org (Crossref),,DOI: 10.1007/978-0-387-49791-4_4,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892273987&doi=10.1007%2f978-0-387-49791-4_4&partnerID=40&md5=570171acfa4de9f2da882a1e7452b5fb,,,"Hamilton, Kevin; Ohfuchi, Wataru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
